question_id,paper_id,score_rate,concept,reasoning,novelty,visual,modeling,position,is_open,topic_mech,topic_em,topic_thermo_optics_modern,textbook_scene_degree,textbook_pattern_degree
6,xicheng_2025,0.79,2,2,0,1,1,0.182,0,1,0,0,2,2
7,xicheng_2025,0.85,2,2,1,1,1,0.212,0,0,1,0,1,2
8,xicheng_2025,0.78,2,2,0,0,1,0.242,0,1,0,0,2,2
9,xicheng_2025,0.86,2,2,0,1,1,0.273,0,1,0,0,2,2
10,xicheng_2025,0.77,3,3,0,1,2,0.303,0,0,1,0,2,2
11,xicheng_2025,0.86,2,2,1,2,1,0.333,0,0,1,0,1,1
12,xicheng_2025,0.36,4,4,2,1,3,0.364,0,1,0,0,1,1
13,xicheng_2025,0.6,4,4,2,2,3,0.394,0,0,1,0,0,1
14,xicheng_2025,0.72,3,3,2,1,2,0.424,0,0,0,1,0,1
15-1,xicheng_2025,0.79,2,1,0,2,0,0.455,1,0,0,1,2,2
15-2,xicheng_2025,0.8,2,2,0,2,1,0.485,1,1,0,0,2,2
15-3,xicheng_2025,0.55,3,3,0,1,1,0.515,1,1,0,0,2,2
16-1,xicheng_2025,0.95,2,2,0,1,0,0.545,1,0,1,0,2,2
16-2,xicheng_2025,0.87,2,2,0,1,0,0.576,1,0,1,0,2,2
16-3,xicheng_2025,0.83,2,2,0,0,1,0.606,1,0,1,0,2,2
16-4,xicheng_2025,0.35,4,4,2,0,3,0.636,1,0,1,0,0,1
17-1,xicheng_2025,0.92,1,1,0,1,0,0.667,1,1,0,0,2,2
17-2,xicheng_2025,0.93,2,2,0,1,0,0.697,1,1,0,0,2,2
17-3,xicheng_2025,0.83,2,2,0,1,1,0.727,1,1,0,0,2,2
18-1,xicheng_2025,0.93,2,2,1,1,1,0.758,1,0,1,0,1,2
18-2,xicheng_2025,0.77,3,3,1,1,2,0.788,1,0,1,0,1,2
18-3,xicheng_2025,0.53,3,3,1,1,2,0.818,1,0,1,0,1,1
19-1,xicheng_2025,0.23,4,4,2,1,3,0.848,1,1,0,0,0,1
19-2,xicheng_2025,0.2,4,4,2,1,3,0.879,1,1,0,0,0,1
19-3,xicheng_2025,0.13,5,5,2,1,3,0.909,1,1,0,0,0,0
20-1,xicheng_2025,0.58,3,3,2,2,2,0.939,1,0,1,0,0,1
20-2,xicheng_2025,0.15,4,5,2,2,3,0.97,1,0,1,0,0,0
20-3,xicheng_2025,0.05,5,5,3,2,3,1.0,1,0,1,0,0,0
1,xicheng_2026,0.93,1,1,0,0,0,0.03,0,0,0,1,2,2
2,xicheng_2026,0.8,1,1,0,0,0,0.061,0,0,0,1,2,2
3,xicheng_2026,0.89,1,1,0,1,0,0.091,0,0,0,1,1,2
4,xicheng_2026,0.9,2,2,0,1,0,0.121,0,0,1,0,2,2
5,xicheng_2026,0.97,1,1,0,2,0,0.152,0,1,0,0,2,2
6,xicheng_2026,0.93,2,2,0,1,1,0.182,0,1,0,0,2,2
7,xicheng_2026,0.92,2,2,1,1,1,0.212,0,1,0,0,1,2
8,xicheng_2026,0.89,2,2,0,0,1,0.242,0,1,0,0,2,2
9,xicheng_2026,0.66,3,3,0,1,1,0.273,0,0,1,0,2,1
10,xicheng_2026,0.72,3,3,1,1,2,0.303,0,0,1,0,1,1
11,xicheng_2026,0.62,4,4,2,2,2,0.333,0,0,1,0,1,1
12,xicheng_2026,0.71,3,3,1,0,1,0.364,0,1,0,0,1,2
13,xicheng_2026,0.45,4,4,1,2,2,0.394,0,0,1,0,1,1
14,xicheng_2026,0.69,3,3,2,2,2,0.424,0,0,0,1,0,1
15-1,xicheng_2026,0.88,2,2,0,2,1,0.455,1,0,0,1,2,2
15-2,xicheng_2026,0.54,3,2,0,2,0,0.485,1,0,1,0,2,2
15-3,xicheng_2026,0.89,2,2,0,2,1,0.515,1,0,1,0,1,2
16-1,xicheng_2026,0.86,2,1,0,1,0,0.545,1,1,0,0,2,2
16-2,xicheng_2026,0.8,1,1,0,1,0,0.576,1,1,0,0,2,2
16-3,xicheng_2026,0.67,2,2,0,0,1,0.606,1,1,0,0,2,2
16-4,xicheng_2026,0.37,4,4,3,1,3,0.636,1,1,0,0,0,0
17-1,xicheng_2026,0.98,1,1,1,0,0,0.667,1,1,0,0,1,2
17-2a,xicheng_2026,0.97,1,1,1,0,0,0.697,1,1,0,0,2,2
17-2b,xicheng_2026,0.82,2,2,1,0,1,0.727,1,1,0,0,1,2
18-1a,xicheng_2026,0.91,2,2,1,1,1,0.758,1,0,1,0,1,2
18-1b,xicheng_2026,0.89,2,2,1,1,1,0.788,1,0,1,0,2,2
18-2,xicheng_2026,0.45,3,3,1,1,2,0.818,1,0,1,0,1,1
19-1,xicheng_2026,0.66,3,3,1,1,2,0.848,1,1,0,0,1,2
19-2a,xicheng_2026,0.59,3,3,2,1,3,0.879,1,1,0,0,0,1
19-2b,xicheng_2026,0.28,4,5,2,1,3,0.909,1,1,0,0,0,0
20-1a,xicheng_2026,0.9,2,2,1,0,0,0.939,1,0,1,0,2,2
20-1b,xicheng_2026,0.39,4,4,2,0,3,0.97,1,0,1,0,1,1
20-2,xicheng_2026,0.28,5,5,3,0,3,1.0,1,0,1,0,0,0
1,gaokao_2024,0.93,1,1,0,0,0,0.031,0,0,0,1,2,2
2,gaokao_2024,0.96,1,1,0,0,0,0.062,0,1,0,0,2,2
4,gaokao_2024,0.9,2,2,1,1,0,0.094,0,1,0,0,1,2
5,gaokao_2024,0.96,2,2,0,1,1,0.125,0,0,1,0,2,2
6,gaokao_2024,0.78,3,3,0,1,1,0.156,0,0,1,0,2,1
7,gaokao_2024,0.92,2,2,0,1,1,0.188,0,1,0,0,2,2
8,gaokao_2024,0.74,3,3,0,0,2,0.219,0,1,0,0,1,1
10,gaokao_2024,0.8,3,3,0,1,2,0.25,0,1,0,0,2,2
11,gaokao_2024,0.74,3,3,0,1,2,0.281,0,0,1,0,2,1
12,gaokao_2024,0.72,3,3,1,2,2,0.312,0,0,1,0,1,1
13,gaokao_2024,0.61,3,3,2,0,1,0.344,0,0,0,1,0,1
14,gaokao_2024,0.51,4,4,2,2,2,0.375,0,0,1,0,0,0
15-1,gaokao_2024,0.94,1,1,0,1,0,0.406,1,0,0,1,2,2
15-2,gaokao_2024,0.91,2,2,0,2,1,0.438,1,0,1,0,2,2
15-3,gaokao_2024,0.78,3,2,0,2,1,0.469,1,0,1,0,1,2
16-1,gaokao_2024,0.98,1,1,0,1,0,0.5,1,1,0,0,2,2
16-2,gaokao_2024,0.9,1,1,0,1,0,0.531,1,1,0,0,2,2
16-a,gaokao_2024,0.87,2,1,0,1,1,0.562,1,1,0,0,2,2
16-b,gaokao_2024,0.92,2,2,0,1,1,0.594,1,1,0,0,2,2
16-3,gaokao_2024,0.31,4,4,3,1,3,0.625,1,1,0,0,1,1
17-1,gaokao_2024,0.99,1,1,0,1,0,0.656,1,1,0,0,2,2
17-2,gaokao_2024,0.96,1,1,0,1,0,0.688,1,1,0,0,2,2
17-3,gaokao_2024,0.81,2,2,1,1,1,0.719,1,1,0,0,1,1
18-1,gaokao_2024,0.93,2,2,1,1,1,0.75,1,0,1,0,2,2
18-2,gaokao_2024,0.93,2,2,1,1,1,0.781,1,0,1,0,2,2
18-3,gaokao_2024,0.68,3,3,1,1,2,0.812,1,0,1,0,2,1
19-1,gaokao_2024,0.42,3,3,3,1,2,0.844,1,1,0,0,0,1
19-2a,gaokao_2024,0.41,3,3,3,1,2,0.875,1,1,0,0,0,2
19-2b,gaokao_2024,0.18,5,5,3,1,3,0.906,1,1,0,0,0,0
20-1,gaokao_2024,0.76,2,2,2,1,1,0.938,1,0,1,0,0,2
20-2,gaokao_2024,0.35,4,4,2,1,3,0.969,1,0,1,0,0,1
20-3,gaokao_2024,0.21,5,5,3,1,3,1.0,1,0,1,0,0,0
1,gaokao_2025,0.96,1,1,1,1,0,0.032,0,0,0,1,1,2
2,gaokao_2025,0.92,1,1,0,0,0,0.065,0,0,0,1,2,2
3,gaokao_2025,0.83,2,2,0,2,1,0.097,0,0,1,0,2,1
4,gaokao_2025,0.87,2,2,0,1,1,0.129,0,0,1,0,2,2
5,gaokao_2025,0.89,2,2,0,1,1,0.161,0,1,0,0,2,2
6,gaokao_2025,0.75,3,3,0,1,2,0.194,0,1,0,0,1,1
7,gaokao_2025,0.93,2,2,1,1,1,0.226,0,1,0,0,1,2
8,gaokao_2025,0.95,2,2,1,2,2,0.258,0,1,0,0,1,2
9,gaokao_2025,0.74,3,3,0,1,2,0.29,0,0,1,0,1,2
10,gaokao_2025,0.57,4,4,1,1,3,0.323,0,0,1,0,1,1
11,gaokao_2025,0.83,3,3,2,2,2,0.355,0,1,0,0,1,1
12,gaokao_2025,0.67,3,3,2,1,2,0.387,0,0,1,0,0,1
13,gaokao_2025,0.3,4,4,3,0,2,0.419,0,0,0,1,0,0
14,gaokao_2025,0.5,4,4,3,1,2,0.452,0,1,0,0,0,1
15-1,gaokao_2025,0.85,2,2,0,1,0,0.484,1,1,0,0,2,2
15-2a,gaokao_2025,0.9,2,2,0,1,0,0.516,1,0,0,1,2,2
15-2b,gaokao_2025,0.86,2,2,0,2,1,0.548,1,0,0,1,2,2
15-3,gaokao_2025,0.82,2,2,1,1,1,0.581,1,0,1,0,2,1
16-1,gaokao_2025,0.99,1,1,0,1,0,0.613,1,1,0,0,2,2
16-2,gaokao_2025,0.94,1,1,0,1,0,0.645,1,1,0,0,2,2
16-3,gaokao_2025,0.69,2,2,0,1,1,0.677,1,1,0,0,2,2
16-4,gaokao_2025,0.7,3,3,1,1,2,0.71,1,1,0,0,1,2
17-1,gaokao_2025,0.93,1,1,0,1,0,0.742,1,1,0,0,2,2
17-2,gaokao_2025,0.84,2,2,0,1,1,0.774,1,1,0,0,2,2
17-3,gaokao_2025,0.86,2,2,1,1,1,0.806,1,1,0,0,1,2
19-1,gaokao_2025,0.8,2,2,1,1,1,0.839,1,1,0,0,2,2
19-2,gaokao_2025,0.74,2,2,1,1,1,0.871,1,1,0,0,1,2
19-3,gaokao_2025,0.31,4,4,3,1,3,0.903,1,1,0,0,0,0
20-1,gaokao_2025,0.9,2,2,1,1,1,0.935,1,0,1,0,1,2
20-2,gaokao_2025,0.25,4,4,2,1,3,0.968,1,0,1,0,1,1
20-3,gaokao_2025,0.02,5,5,3,1,3,1.0,1,0,0,1,0,0
