paper_id,question_id,score_rate,context_familiarity,info_complexity,topic,concept_count,knowledge_depth,openness,modeling,reasoning,computation,question_type,notes
xicheng_2025,16-4,0.35,2,1,em,3,analyze,closed,2,4,2,fill,电阻温度系数+两种材料串联使R不变·条件+R表达式
xicheng_2025,17-1,0.92,0,1,mech,2,apply,closed,0,1,1,solve,半圆轨道B点速度vB·顶点最小速度条件
xicheng_2025,17-2,0.93,0,1,mech,1,apply,closed,0,2,1,solve,落地点距离x·平抛
xicheng_2025,17-3,0.83,0,1,mech,2,apply,closed,0,2,1,solve,圆弧轨道对小球弹力FA
xicheng_2025,18-1,0.93,1,1,em,2,apply,closed,0,2,1,solve,电磁弹射·安培力F+加速时间t
xicheng_2025,18-2,0.77,1,1,em,1,apply,closed,0,2,1,solve,减速时0.5v加速度a
xicheng_2025,18-3,0.53,2,1,em,2,analyze,closed,1,3,2,solve,加速+减速阶段焦耳热Q1Q2
xicheng_2025,19-1,0.23,2,1,mech,2,analyze,closed,1,2,1,solve,火箭推力F+判断是否变化(变质量运动)
xicheng_2025,19-2,0.2,2,1,mech,2,analyze,closed,2,3,2,solve,火箭最大加速度am
xicheng_2025,19-3,0.13,2,2,mech,2,analyze,closed,2,4,2,solve,"1/(a+g)-t线性·b,k表达式"
xicheng_2025,20-1,0.58,2,2,em,2,analyze,closed,1,3,2,solve,电子比荷装置·θ方向判断+v0
xicheng_2025,20-2,0.15,2,2,em,3,analyze,closed,1,3,2,solve,"模式2,3电子位置y0·与比荷关系"
xicheng_2025,20-3,0.05,2,2,cross,4,analyze,closed,2,4,2,solve,横坐标表达式·斜率=e/m·(跨模块+函数构造)
xicheng_2026,1,0.93,0,0,thermal,1,recall,closed,0,1,0,mcq,卢瑟福核反应·中子识别
xicheng_2026,2,0.8,0,0,thermal,1,recall,closed,0,1,0,mcq,日光灯狭缝彩色条纹·衍射识别
xicheng_2026,3,0.89,0,1,thermal,2,analyze,closed,0,2,0,mcq,烧瓶水柱缓慢外移·气体+第一定律
xicheng_2026,4,0.9,0,1,em,1,apply,closed,0,2,0,mcq,交流发电机线圈判断
xicheng_2026,5,0.97,0,2,mech,2,analyze,closed,0,2,0,mcq,简谐横波·P Q位置+振动图对应
xicheng_2026,6,0.93,0,1,mech,2,analyze,closed,0,2,0,mcq,圆锥摆·不能计算的物理量
xicheng_2026,7,0.92,1,1,mech,2,analyze,closed,0,2,0,mcq,神舟返回·椭圆轨道+圆轨道·万有引力
xicheng_2026,8,0.89,0,0,mech,2,analyze,closed,0,2,0,mcq,传送带行李·摩擦力+匀速阶段
xicheng_2026,9,0.66,1,1,em,3,analyze,closed,1,3,0,mcq,条形磁铁+线圈竖直下落·电磁感应+力
xicheng_2026,10,0.72,1,1,cross,3,analyze,closed,1,3,0,mcq,正方形带电粒子·磁场vs电场比较(跨模块)
xicheng_2026,11,0.62,2,1,cross,4,analyze,closed,1,3,1,mcq,加速度计·弹簧+电路·灵敏度分析(跨模块)
xicheng_2026,12,0.71,1,0,mech,3,analyze,closed,1,3,0,mcq,跳板跳水·能量+超失重+冲量综合
xicheng_2026,13,0.45,2,2,em,2,analyze,closed,1,4,1,mcq,多个点电荷等势线·电势叠加+多项判断
xicheng_2026,14,0.69,2,2,thermal,3,analyze,closed,1,3,0,mcq,声呐+光折射类比·情境题+波+图
xicheng_2026,15-1,0.88,0,1,thermal,2,apply,closed,0,1,0,fill,玻璃折射率·垂足法
xicheng_2026,15-2,0.54,0,1,em,2,comprehend,closed,0,1,0,fill,多用电表电阻测量步骤排序
xicheng_2026,15-3,0.89,1,2,em,2,analyze,closed,0,2,0,fill,电容器放电·I-t曲线对比+参数判定
xicheng_2026,16-1,0.86,0,1,mech,2,comprehend,closed,0,1,0,fill,单摆实验操作·多选
xicheng_2026,16-2,0.8,0,2,mech,2,apply,closed,0,1,0,fill,游标卡尺读数
xicheng_2026,16-3,0.67,0,1,mech,1,apply,closed,0,2,1,fill,"单摆g表达式·d,l,n,t"
xicheng_2026,16-4,0.37,2,1,mech,2,analyze,closed,1,3,1,fill,单摆验证机械能守恒·F0F1F2关系推导
xicheng_2026,17-1,0.98,0,1,mech,1,apply,closed,0,1,1,solve,无人机水平投弹·平抛
xicheng_2026,17-2a,0.97,0,1,mech,1,apply,closed,0,1,0,solve,无人机竖直加速·离开速度v
xicheng_2026,17-2b,0.82,0,1,mech,2,apply,closed,0,2,1,solve,炮弹落地动能Ek
xicheng_2026,18-1a,0.91,1,1,mech,1,apply,closed,0,1,0,solve,航母阻拦·飞机+金属棒共同速度v(动量守恒)
xicheng_2026,18-1b,0.89,1,1,em,2,apply,closed,0,1,1,solve,电路电流I·感应电动势
xicheng_2026,18-2,0.45,2,1,cross,2,analyze,closed,1,3,2,solve,位移x后电能E电·能量守恒(跨模块)
xicheng_2026,19-1,0.66,2,1,mech,1,apply,closed,1,2,1,solve,火箭一级箭体减速·空气阻力+反推力做功W
xicheng_2026,19-2a,0.59,2,2,cross,2,analyze,closed,2,3,2,solve,动压q-h变化规律推导+图像(跨模块气体+力学)
xicheng_2026,19-2b,0.28,2,1,mech,2,analyze,closed,2,4,2,solve,8g分离推力F估算·多参
xicheng_2026,20-1a,0.9,1,1,em,1,apply,closed,0,1,1,solve,加速管电压U·动能定理
xicheng_2026,20-1b,0.39,2,1,cross,2,analyze,closed,2,4,2,solve,电子束冲击力F∝v^α·自主建模+α确定
xicheng_2026,20-2,0.28,2,1,cross,3,analyze,closed,2,4,2,solve,相对论质能+储存环B(t)关系推导
gaokao_2022,1,0.87,0,0,thermal,1,recall,closed,0,1,0,mcq,氢原子跃迁·发放光子判断
gaokao_2022,2,0.87,0,0,thermal,1,recall,closed,0,1,0,mcq,光横波·偏振现象识别
gaokao_2022,3,0.89,0,2,thermal,2,apply,closed,0,2,0,mcq,理想气体pV图 a→b→c·状态变化
gaokao_2022,4,0.86,0,0,em,1,apply,closed,0,1,0,mcq,理想变压器·参数判断
gaokao_2022,5,0.9,0,1,mech,2,apply,closed,0,1,0,mcq,斜面物块·受力+加速度
gaokao_2022,6,0.9,0,2,mech,2,analyze,closed,0,3,0,mcq,弹性绳P0简谐·3/4T时刻波形分析
gaokao_2022,7,0.86,1,1,em,2,analyze,closed,0,2,0,mcq,云室正电子磁场·轨迹分析
gaokao_2022,8,0.89,1,1,mech,2,analyze,closed,0,2,0,mcq,天宫圆周实验·地面vs失重比较
gaokao_2022,9,0.72,0,1,em,2,analyze,closed,0,2,0,mcq,电容器充放电·电流电压表示数
gaokao_2022,10,0.9,1,2,mech,2,apply,closed,0,2,0,mcq,两物体x-t图正碰·动量分析
gaokao_2022,11,0.63,1,1,em,3,analyze,closed,1,3,0,mcq,长直导线+线框·感应电流+安培力
gaokao_2022,12,0.76,2,1,mech,2,analyze,closed,0,2,0,mcq,雪如意跳台滑雪·情境+四阶段判断
gaokao_2022,13,0.7,2,1,em,3,analyze,closed,1,3,0,mcq,水位预警系统·压力传感器电路
gaokao_2022,14,0.51,2,0,thermal,2,analyze,closed,1,2,0,mcq,EAST等离子体·情境题·选不正确
gaokao_2022,15-1,0.92,0,1,em,2,comprehend,closed,0,1,0,fill,测电阻·安伏法选择
gaokao_2022,15-2,0.63,0,1,em,2,comprehend,closed,0,1,0,fill,多用电表电阻测量步骤+读数
gaokao_2022,15-3,0.87,1,1,em,2,analyze,closed,0,2,0,fill,电路故障排查·滑动变阻器
gaokao_2022,16-4,0.34,2,0,mech,2,analyze,closed,2,3,1,fill,水滴测g·自主设计方案+需测物理量
gaokao_2022,17-1,0.95,0,1,mech,1,apply,closed,0,1,1,solve,排球水平击出·平抛距离x
gaokao_2022,17-2,0.84,0,1,mech,2,apply,closed,0,1,1,solve,排球垫起前速度大小+方向
gaokao_2022,17-3,0.75,0,1,mech,1,apply,closed,0,2,1,solve,排球与乙作用冲量I
gaokao_2022,18-1,0.94,0,1,em,1,recall,closed,0,1,0,solve,平行板静电力F
gaokao_2022,18-2,0.94,0,1,em,1,apply,closed,0,1,1,solve,平行板到达N速度v·动能定理
gaokao_2022,18-3,0.7,1,1,em,2,analyze,closed,1,2,1,solve,d/2处撤电压·后续时间t
gaokao_2022,19-1,0.78,0,1,mech,1,apply,closed,0,1,1,solve,行星椭圆·近日到远日W(能量守恒)
gaokao_2022,19-2,0.78,1,1,mech,2,apply,closed,0,2,1,solve,开普勒第三定律证F∝1/r²
gaokao_2022,19-3,0.4,2,1,thermal,2,analyze,closed,2,3,2,solve,流浪地球·新轨道周期T2/T1(温度+能量+开普勒)
gaokao_2022,20-1,0.6,2,1,em,2,apply,closed,1,2,1,solve,摇动电线·地磁场B_地估算
gaokao_2022,20-2,0.52,2,1,em,2,analyze,closed,1,3,2,solve,霍尔效应·磁感应强度B
gaokao_2022,20-3,0.19,2,1,em,2,analyze,closed,2,4,2,solve,测北京地磁场大小+方向·自主设计
gaokao_2023,1,0.9,0,0,thermal,2,recall,closed,0,1,0,mcq,夜间轮胎气温·气体分子理论
gaokao_2023,2,0.9,0,0,thermal,1,recall,closed,0,1,0,mcq,肥皂膜彩色·干涉现象识别
gaokao_2023,3,0.87,0,0,thermal,1,apply,closed,0,1,0,mcq,核反应方程·识别中子
gaokao_2023,4,0.58,0,2,mech,2,analyze,closed,0,2,0,mcq,简谐横波 sin 波形·t=T 时刻
gaokao_2023,5,0.97,1,1,em,2,analyze,closed,0,2,0,mcq,自感线圈PQ灯泡·断电过程
gaokao_2023,6,0.75,0,1,mech,2,apply,closed,0,2,1,mcq,光滑面两物块细线相连·最大拉力F
gaokao_2023,7,0.9,1,0,em,1,analyze,closed,0,2,0,mcq,自制变压器·灯泡正常发光措施
gaokao_2023,8,0.77,0,1,em,2,analyze,closed,0,3,0,mcq,两正电荷EF中垂线·负电荷运动分析
gaokao_2023,11,0.44,1,1,mech,2,analyze,closed,0,3,1,mcq,F作匀加速·摩擦力做功+F方向
gaokao_2023,12,0.65,2,1,mech,2,analyze,closed,1,3,1,mcq,夸父一号·近地圆周+轨道平面转动
gaokao_2023,13,0.5,2,1,cross,3,analyze,closed,1,3,1,mcq,圆柱管道带电粒子·磁场+弹性碰撞·选不正确(跨模块)
gaokao_2023,14,0.63,2,0,thermal,2,analyze,closed,1,3,1,mcq,重力场光频率变化·广义相对论情境
gaokao_2023,15-1,0.96,0,0,thermal,2,apply,closed,0,1,0,fill,油膜法测油酸分子直径 d
gaokao_2023,15-2a,0.88,0,1,em,2,comprehend,closed,0,1,0,fill,滑动变阻器滑片起始位置
gaokao_2023,15-2b,0.83,0,1,em,2,analyze,closed,0,2,0,fill,接错导线判断+故障后果
gaokao_2023,16-1,0.88,0,1,mech,2,comprehend,closed,0,1,0,fill,平抛实验·做法多选
gaokao_2023,16-2,0.92,0,1,mech,2,comprehend,closed,0,1,0,fill,平抛小球A竖直+水平判据
gaokao_2023,16-3,0.88,0,1,mech,2,apply,closed,0,1,1,fill,高度0.8m 频闪25Hz·位置数
gaokao_2023,16-4,0.07,2,2,mech,3,analyze,closed,2,4,2,fill,忘标重锤线·夹角正切值(自主几何+平抛)
gaokao_2023,17-1,0.92,0,1,mech,1,apply,closed,0,1,1,solve,A球释放高度 H·能量守恒
gaokao_2023,17-2,0.84,0,1,mech,2,apply,closed,0,1,1,solve,碰撞前瞬间绳拉力F·圆周+牛二
gaokao_2023,17-3,0.9,0,1,mech,2,apply,closed,0,1,1,solve,碰撞损失机械能ΔE·完全非弹碰
gaokao_2023,18-1,0.94,1,1,em,2,apply,closed,0,1,0,solve,电磁撬第一级安培力F=BIL
gaokao_2023,18-2,0.91,1,1,cross,2,apply,closed,0,1,1,solve,加速度比a1:a2(跨模块)
gaokao_2023,18-3,0.76,1,1,em,1,apply,closed,0,2,1,solve,两级推进后速度v·动能定理
gaokao_2023,19-1,0.68,1,1,em,2,apply,closed,0,2,1,solve,负离子净化·电压U1(平抛+电场)
gaokao_2023,19-2a,0.26,2,1,cross,3,analyze,closed,1,3,2,solve,半径R颗粒·带空气阻力U2(跨模块)
gaokao_2023,19-2b,0.2,2,1,cross,3,analyze,closed,2,4,2,solve,10μm与2.5μm颗粒收集比例·多参
gaokao_2023,20-1,0.81,1,1,mech,1,apply,closed,0,1,1,solve,螺旋星系 r>R 恒星速度v(万有引力)
gaokao_2023,20-2,0.34,2,1,mech,2,analyze,closed,2,3,2,solve,r≤R 类比库仑·内球恒星速度
gaokao_2023,20-3,0.19,2,2,mech,2,analyze,closed,2,4,2,solve,暗物质质量M'·v-r图分析
gaokao_2024,1,0.93,0,0,thermal,1,recall,closed,0,1,0,mcq,氢原子跃迁·发放光子判断
gaokao_2024,2,0.96,0,0,thermal,1,recall,closed,0,1,0,mcq,光横波·偏振现象识别
gaokao_2024,4,0.9,0,0,em,1,apply,closed,0,1,0,mcq,变压器·副线圈参数
gaokao_2024,5,0.96,0,2,em,2,apply,closed,0,2,0,mcq,变压器·u-t图·灯泡6V3W
gaokao_2024,6,0.78,1,1,em,1,analyze,closed,0,2,0,mcq,线圈M P铁芯互感
gaokao_2024,7,0.92,0,1,mech,2,analyze,closed,0,2,0,mcq,光滑水平+半圆·弹簧释放·恰好到最高点
gaokao_2024,8,0.74,1,0,mech,2,analyze,closed,0,3,0,mcq,小球竖直上抛·空气阻力与速度成正比
gaokao_2024,10,0.8,0,0,mech,2,analyze,closed,0,2,0,mcq,水平传送带·摩擦力+匀速阶段
gaokao_2024,11,0.74,0,1,em,2,analyze,closed,0,2,0,mcq,两异种电荷·P Q 电场+电势
gaokao_2024,12,0.72,2,1,cross,3,analyze,closed,1,3,1,mcq,加速度计·滑块+弹簧+电路·灵敏度分析(跨模块)
gaokao_2024,13,0.61,2,0,thermal,3,analyze,closed,1,3,1,mcq,阿秒光脉冲·情境题·衍射+光子+能量
gaokao_2024,14,0.51,2,1,em,4,analyze,closed,0,3,0,mcq,电荷/电压/电流/磁通量·元件属性图·选错误
gaokao_2024,15-1,0.94,0,1,thermal,2,apply,closed,0,1,0,fill,玻璃折射率·i-r 角
gaokao_2024,15-2,0.91,0,1,em,2,comprehend,closed,0,1,0,fill,感应电流方向实验·条形磁铁·多选
gaokao_2024,15-3,0.78,1,2,em,2,analyze,closed,0,2,1,fill,水果电池·U-U/R图·电动势+内阻
gaokao_2024,16-1,0.98,0,1,mech,2,comprehend,closed,0,1,0,fill,斜槽末端小球碰撞验证动量·做法
gaokao_2024,16-2,0.9,0,1,mech,2,apply,closed,0,1,0,fill,图2落点·平均落点确定
gaokao_2024,16-a,0.87,0,1,mech,2,comprehend,closed,0,1,0,fill,确定平均落点简要说明
gaokao_2024,16-b,0.92,0,1,mech,2,apply,closed,0,2,1,fill,OP OM ON关系式验证动量守恒
gaokao_2024,16-3,0.31,2,1,mech,3,analyze,closed,2,4,2,fill,悬挂两球等长绳验证方案·关系式(自主推导)
gaokao_2024,17-1,0.99,0,1,mech,1,apply,closed,0,1,0,solve,排水管平抛·时间t
gaokao_2024,17-2,0.96,0,1,mech,1,apply,closed,0,1,0,solve,排出速度v0·d/t
gaokao_2024,17-3,0.81,0,1,mech,1,apply,closed,0,2,1,solve,单位时间流出体积Q
gaokao_2024,18-1,0.93,0,1,em,2,apply,closed,0,1,0,solve,电磁枪·电容器放电电流I
gaokao_2024,18-2,0.93,0,1,em,2,apply,closed,0,1,0,solve,导体棒加速度a·安培力
gaokao_2024,18-3,0.68,1,2,em,2,analyze,closed,1,3,1,solve,v-t 图定性画·电容器持续放电
gaokao_2024,19-1,0.68,2,1,mech,1,analyze,closed,1,2,1,solve,宇宙膨胀·2r0处密度ρ
gaokao_2024,19-2a,0.41,2,1,mech,2,analyze,closed,2,3,2,solve,星体动能变化ΔEk·引力势能
gaokao_2024,19-2b,0.18,2,1,mech,2,analyze,closed,2,4,2,solve,哈勃系数H随t变化分析
gaokao_2024,20-1,0.76,2,1,em,2,apply,closed,0,1,1,solve,霍尔推进器·氙离子加速度a
gaokao_2024,20-2,0.35,2,2,cross,3,analyze,closed,1,3,2,solve,径向磁感应强度B2·圆周运动(跨模块)
gaokao_2024,20-3,0.21,2,2,cross,3,analyze,closed,2,4,2,solve,推力F·电荷比k+n参数综合(跨模块)
gaokao_2025,1,0.96,1,1,thermal,3,analyze,closed,0,2,0,mcq,古代点火器·压缩空气+热+力
gaokao_2025,2,0.92,0,0,thermal,1,recall,closed,0,1,0,mcq,光的衍射现象识别
gaokao_2025,3,0.83,0,2,em,2,analyze,closed,0,2,0,mcq,金属圆环感应电流·不能产生的判断
gaokao_2025,4,0.87,0,1,em,1,apply,closed,0,2,0,mcq,交流发电机线圈·e-t关系判断
gaokao_2025,5,0.89,0,2,mech,2,analyze,closed,0,2,0,mcq,简谐运动S振动·波形+P点判断
gaokao_2025,6,0.75,1,1,mech,2,analyze,closed,1,3,0,mcq,长方体AB叠放斜面·B受力个数分析
gaokao_2025,7,0.93,1,1,mech,2,analyze,closed,0,2,0,mcq,嫦娥六号·椭圆轨道+圆轨道·万有引力
gaokao_2025,8,0.95,1,2,cross,2,analyze,closed,1,2,0,mcq,小山坡等高线·力学+电场类比(跨模块)
gaokao_2025,9,0.74,1,1,em,3,analyze,closed,1,3,0,mcq,自感线圈+电容器+3灯泡·稳态分析
gaokao_2025,10,0.57,1,1,em,3,analyze,closed,1,3,0,mcq,磁铁+弹簧+闭合线圈电磁感应+能量
gaokao_2025,11,0.83,2,2,mech,3,analyze,closed,1,3,0,mcq,电磁弹射实验舱·f-t图·失重+多阶段
gaokao_2025,12,0.67,2,1,cross,2,analyze,closed,1,3,0,mcq,电磁流量计·U0与Q关系(跨模块)
gaokao_2025,13,0.3,2,0,thermal,2,analyze,closed,0,3,0,mcq,反物质·反氢+湮灭+聚变
gaokao_2025,14,0.5,2,1,thermal,2,analyze,closed,1,2,0,mcq,声波·姑苏城声线传播情境
gaokao_2025,15-1,0.85,0,1,cross,3,comprehend,closed,0,1,0,fill,实验操作·三选一多概念判断
gaokao_2025,15-2a,0.9,0,1,thermal,2,comprehend,closed,0,1,0,fill,双缝干涉·双缝A或B判断
gaokao_2025,15-2b,0.86,0,2,thermal,2,apply,closed,0,1,0,fill,双缝干涉·手轮读数
gaokao_2025,15-3,0.82,1,1,em,2,analyze,closed,0,2,0,fill,电流表故障·多用电表检测·断路位置
gaokao_2025,16-1,0.99,0,1,mech,2,comprehend,closed,0,1,0,fill,打点计时器·操作步骤排序
gaokao_2025,16-2,0.94,0,1,mech,2,comprehend,closed,0,1,0,fill,纸带左端还是右端与小车相连
gaokao_2025,16-3,0.69,0,2,mech,2,apply,closed,0,1,1,fill,打B点速度v·中值速度
gaokao_2025,16-4,0.7,1,2,mech,3,apply,closed,0,2,1,fill,圆盘计时·加速度+向心加速度
gaokao_2025,17-1,0.93,0,0,mech,1,apply,closed,0,1,0,solve,物体上抛炸裂·初速v0
gaokao_2025,17-2,0.84,0,0,mech,1,apply,closed,0,1,1,solve,炸裂后B速度vB·动量守恒
gaokao_2025,17-3,0.86,0,0,mech,2,apply,closed,0,2,1,solve,A B落地距离d·平抛+竖直
gaokao_2025,19-1,0.8,0,1,mech,1,apply,closed,0,1,1,solve,飞机加速跑道·牵引功W(动能定理)
gaokao_2025,19-2,0.74,1,1,mech,2,analyze,closed,1,2,1,solve,"飞机决策距离d·L,a1,a2约束"
gaokao_2025,19-3,0.31,2,1,mech,2,analyze,open,2,4,2,solve,气流对机翼力F∝u^α·自主建模+α
gaokao_2025,20-1,0.9,1,1,em,1,apply,closed,0,1,0,solve,圆筒+金属线·电荷Q到达A功W
gaokao_2025,20-2,0.25,2,1,em,2,analyze,closed,2,4,2,solve,圆筒粒子E1E2E3能量差比较(非匀强+对数积分)
gaokao_2025,20-3,0.02,2,1,cross,3,analyze,open,2,4,2,solve,静电除尘·基态氢电离所需E(玻尔原子+电场)
